date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-09,309,0.8465753424657534,154,0.20180100963088238,-0.7818855434739406,0.8455500228284389,0.00605943622279363
2023-02-09,323,0.8849315068493151,91,0.20916412862282727,-0.8593615336936855,0.7870700930783725,0.014522810858452037
2023-02-09,344,0.9424657534246575,118,0.18832750387145697,-0.7179927765495289,1.088986647589595,0.02171976276068734
2023-02-09,372,1.0191780821917809,120,0.19756924139789106,-0.7620766646356899,0.9602552292861544,0.014531400212452012
2023-02-09,400,1.095890410958904,117,0.20516594065759214,-0.7967603188596429,0.7366978805463444,0.004729349437117981
2023-02-09,498,1.3643835616438356,106,0.19317057234754711,-0.7073298488362907,0.8610303974609835,0.021409722659687602
2023-02-09,680,1.8630136986301369,62,0.2054695893512348,-0.7557005115060044,0.6294609117320225,0.0090841507773567
2023-02-09,1044,2.8602739726027395,60,0.1975267344595334,-0.7510909571439632,0.6243737094058317,0.03636936264806112
2023-02-09,1408,3.8575342465753426,62,0.19363265071748695,-0.6904529641697795,0.5369002360375126,0.039521096655094526
2023-02-09,1772,4.854794520547945,52,0.19928999610649173,-0.6863396293803672,0.4201912269678332,0.023881104869456823
2023-02-10,3,0.00821917808219178,147,0.00946291638374587,-0.716282198510314,24.505864795351,0.03686604198683998
2023-02-10,4,0.010958904109589041,126,0.17999733359141046,-0.1812370589353601,7.205827301706919,0.04415571603550625
2023-02-10,5,0.0136986301369863,101,0.20353874735618713,-0.20217898102427231,4.543116253978247,0.023982854881782215
2023-02-10,6,0.01643835616438356,142,0.1746768095533168,-0.4176911824338881,7.540607248678334,0.04638159836623542
2023-02-10,7,0.019178082191780823,570,0.13405664264409115,-0.31864628521273214,7.913706388950852,0.059203859912203005
2023-02-10,11,0.030136986301369864,108,0.17419328404957807,-0.2279807510637507,3.4245610904637567,0.018918350744524186
2023-02-10,12,0.03287671232876712,108,0.18241721781349945,-0.34519685776900594,2.729345586095834,0.011529294537088236
2023-02-10,13,0.03561643835616438,119,0.1601570942899764,-0.4569453370017133,5.195678254758483,0.0355560576442207
2023-02-10,14,0.038356164383561646,188,0.1669112209815331,-0.4298242740236207,4.023992207651678,0.02142916296968767
2023-02-10,17,0.04657534246575343,115,0.17336917869957263,-0.3795061792377403,2.541982841534372,0.010695768540410149
2023-02-10,18,0.049315068493150684,220,0.16984129774366216,-0.35888176653470744,2.336556939446039,0.017360095732658246
2023-02-10,19,0.052054794520547946,95,0.1770008458142262,-0.47431403580164555,2.301738242350758,0.007756026775269247
2023-02-10,20,0.0547945205479452,98,0.17480559105011265,-0.4180348369137481,2.6880986916216307,0.00976306472131972
2023-02-10,21,0.057534246575342465,162,0.17811804367954634,-0.5142409860412333,2.3310468322446343,0.008788488230941421
2023-02-10,24,0.06575342465753424,114,0.1719127854326643,-0.4553921562350043,2.1576608718717236,0.008420283967691386
2023-02-10,25,0.0684931506849315,80,0.1738907536437622,-0.41143491591483766,2.215956702411565,0.010032830111353704
2023-02-10,26,0.07123287671232877,53,0.17789669082384812,-0.49257047380155394,2.029653438095027,0.007457654314807689
2023-02-10,27,0.07397260273972603,63,0.17531756577963292,-0.5142552924676784,2.5189142938639635,0.008627897142946818
2023-02-10,28,0.07671232876712329,142,0.1812099410856531,-0.5198555835130847,2.126520275650991,0.008934875363732558
2023-02-10,31,0.08493150684931507,99,0.1785564432790305,-0.5045514400687273,1.759981107198094,0.010257660568498698
2023-02-10,35,0.0958904109589041,649,0.17171451716457334,-0.4017139936325387,2.4337554961444963,0.02148317484363429
2023-02-10,38,0.10410958904109589,58,0.18532941637765835,-0.5528439747161553,1.7385645628400457,0.0084819586186046
2023-02-10,42,0.11506849315068493,96,0.19354287737204853,-0.6262807352671352,1.9385927080858592,0.004312791787168232
2023-02-10,49,0.13424657534246576,362,0.18598703733759797,-0.5985420180769367,1.9841864491709398,0.008000906976006444
2023-02-10,63,0.1726027397260274,78,0.18668862322240182,-0.6521945477471582,2.0052145261942607,0.009190187373868891
2023-02-10,70,0.1917808219178082,584,0.17747020365241833,-0.6558831181048246,2.189582011319803,0.01710338312225736
2023-02-10,77,0.21095890410958903,291,0.17488008623251858,-0.6109779973015191,2.161894179940305,0.017534537953764515
2023-02-10,98,0.2684931506849315,526,0.188245122041449,-0.6828006512049115,1.64269563996783,0.008236145567874645
2023-02-10,110,0.3013698630136986,166,0.18624129396364467,-0.691222654254885,1.5645368038588787,0.010907121895522459
